dataset,total_samples,val_loss,test_loss,log_mae,log_r2,linear_mae,linear_mse
base,12412,0.0007538837574732801,0.0009229092975147069,0.1439389,0.980679,0.0174242639914155,0.008767309598624706
x32,31997,0.00047938562680168876,0.0006303248446783982,0.1876689,0.996314,3.7479885406205064e+20,inf
x48,47997,0.00043282336118863893,0.0003949258563807234,0.154406,0.997865,1.967702827197788e+20,inf
x64,63985,0.0004213351225749088,0.000438271724436033,0.1451658,0.997707,1.539638743656594e+20,inf
x80,79992,0.0005327427352312952,0.0006592666195501806,0.1470435,0.99646,2.1867607981916003e+20,inf
x96,96000,0.0004961680725069815,0.00038124382626847364,0.1318498,0.998183,1.6172173506154457e+20,inf
x112,112000,0.0003823515498052902,0.0004262966262599961,0.1237623,0.998034,1.6482716599623005e+20,inf
x128,128000,0.00042270039732102306,0.0004080378040760899,0.1257034,0.998052,1.5988220917657515e+20,inf
x144,144000,0.00036488875474756713,0.0005551427481501984,0.1169029,0.997585,1.3703092324091683e+20,inf
x160,160000,0.0003458000144291873,0.00038913761636649724,0.1156314,0.998166,1.687305849070399e+20,inf
x176,176000,0.0003892896017142838,0.00042006275220450736,0.1160878,0.997943,1.8904293034406468e+20,inf
